File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Input\Read_Field_Def.h,208,92,65,6,56,4,60,273,23,108
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Interpolation\CenterToFaceInterpolation.h,133,67,37,6,25,1,41,210,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Interpolation\CenterToFaceInterpolation_Def.h,80,30,13,3,18,0,32,124,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Interpolation\CenterToVertexInterpolation.h,67,23,12,0,13,1,31,159,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Interpolation\CenterToVertexInterpolation_Def.h,189,101,61,16,34,5,54,267,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Interpolation\Interpolation_.h,40,24,13,0,13,1,3,17,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Materials\Materials.cpp,179,136,100,13,20,3,23,119,23,108
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Materials\Materials.h,100,57,34,0,19,5,24,116,23,108
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Mesh\Cell.cpp,167,107,81,12,22,10,38,203,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Mesh\Face.cpp,76,29,19,2,14,1,33,166,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Mesh\FluentMesh.cpp,390,285,220,45,90,0,15,64,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Mesh\Grid.cpp,207,45,25,3,21,4,141,609,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Mesh\MeshInfo.cpp,45,17,11,1,8,1,20,102,20,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Mesh\Node.cpp,39,11,6,0,5,0,23,101,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Mesh\ReadCGNS (Copia en conflicto de Luciano Buglioni 2015-01-29).cpp,363,251,188,56,47,15,65,428,23,106
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Mesh\ReadCGNS.cpp,373,255,194,57,48,16,70,447,23,106
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Mesh\Rectangular.cpp,36,10,8,0,4,0,22,100,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Mesh\Structured.cpp,24,1,0,0,1,0,22,100,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Mesh\Vertex.cpp,27,2,1,0,3,0,22,100,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Mesh\Cell.h,122,65,53,3,24,14,33,204,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Mesh\Face.h,101,40,34,0,24,6,37,234,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Mesh\FluentMesh.h,35,23,10,0,10,0,2,6,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Mesh\Grid.h,176,84,67,0,40,17,52,371,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Mesh\MeshInfo.h,51,19,8,0,9,1,23,106,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Mesh\Node.h,84,38,27,0,16,6,30,167,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Mesh\Structured.h,101,54,34,6,12,8,35,224,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Mesh\Vertex.h,53,16,8,0,11,3,26,132,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Model\Model.cpp,565,225,187,15,147,13,193,744,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Model\Model.h,141,70,48,0,51,8,20,117,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Nastran\Cadenas.cpp,211,133,90,28,28,16,50,439,24,114
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Nastran\Caract.cpp,44,16,8,2,6,0,22,100,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Nastran\Elementos.cpp,349,234,125,36,70,20,45,392,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Nastran\Material.cpp,86,51,35,5,11,6,24,130,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Nastran\Modelo.cpp,619,420,262,67,113,12,86,513,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Nastran\Nastran.cpp,350,237,143,42,51,10,62,371,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Nastran\Nodo.cpp,82,46,23,6,14,0,22,100,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Nastran\Prop.cpp,45,19,10,2,4,0,22,100,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Nastran\SistCoord.cpp,55,14,7,2,10,0,31,121,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Nastran\Varios.cpp,136,75,43,19,16,1,45,186,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Nastran\Cadenas.h,22,18,6,0,4,1,0,9,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Nastran\Caract.h,28,21,8,0,6,0,1,10,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Nastran\Elementos.h,104,79,65,0,25,10,0,56,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Nastran\Material.h,43,33,21,0,10,3,0,13,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Nastran\Modelo.h,205,120,104,0,67,16,18,168,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Nastran\Nastran (Copia en conflicto de Luciano Buglioni 2015-01-29).h,95,53,37,0,28,8,14,124,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Nastran\Nastran.h,95,53,37,0,28,8,14,124,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Nastran\Nodo.h,39,32,21,0,7,2,0,7,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Nastran\Prop.h,28,24,12,0,4,1,0,2,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Nastran\SistCoord.h,25,18,8,0,7,1,0,10,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Nastran\Varios.h,77,18,7,0,13,1,46,196,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Output\OutputFile.cpp,481,326,260,64,100,20,55,293,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Output\WriteVtk_FvGrid.cpp,127,76,54,11,22,6,29,146,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Output\OutputFile.h,86,39,19,0,22,2,25,118,22,100
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Output\WriteVtk_Def.h,162,129,99,23,22,6,11,56,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Output\WriteVtk_Field_Def.h,163,31,11,1,10,2,122,670,0,0
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\SistEcuac\SistEcuac.cpp,351,178,101,31,54,6,119,460,23,108
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\SistEcuac\SistEcuac.h,349,185,132,19,76,15,88,482,23,108
D:\Luciano\Numerico\MecSol\FluxSol\Src\FluxSol-Solver\Solver\PETSC_Solver.cpp,440,48,39,2,24,1,368,1236,25,104
